,,num,median
45,2015/9/7 0:00,2,5
54,2015/9/30 0:00,2,5
71,2015/10/17 0:00,2,5
72,2015/10/18 0:00,2,5
73,2015/10/19 0:00,2,5
74,2015/10/20 0:00,2,5
77,2015/10/30 0:00,2,5
78,2015/10/31 0:00,2,5
79,2015/11/1 0:00,2,5
80,2015/11/6 0:00,2,5
90,2015/11/25 0:00,2,5
136,2016/1/12 0:00,2,5
137,2016/1/13 0:00,2,5
139,2016/1/15 0:00,2,5
143,2016/1/19 0:00,2,5
145,2016/1/21 0:00,2,5
159,2016/2/4 0:00,2,5
168,2016/2/26 0:00,2,5
169,2016/2/29 0:00,2,5
199,2016/4/2 0:00,2,5
200,2016/4/3 0:00,2,5
201,2016/4/4 0:00,2,5
202,2016/4/5 0:00,2,5
203,2016/4/6 0:00,2,5
204,2016/4/7 0:00,2,5
206,2016/4/18 0:00,2,5
207,2016/4/19 0:00,2,5
208,2016/4/23 0:00,2,5
209,2016/4/24 0:00,2,5
210,2016/4/25 0:00,2,5
214,2016/5/2 0:00,2,5
215,2016/5/3 0:00,2,5
216,2016/5/5 0:00,2,5
217,2016/5/11 0:00,2,5
219,2016/5/13 0:00,2,5
220,2016/5/14 0:00,2,5
222,2016/5/16 0:00,2,5
223,2016/5/17 0:00,2,5
224,2016/5/18 0:00,2,5
226,2016/5/21 0:00,2,5
228,2016/5/29 0:00,2,5
229,2016/5/30 0:00,2,5
230,2016/6/3 0:00,2,5
257,2016/6/30 0:00,2,5
29,2015/7/2 0:00,3,5
30,2015/7/3 0:00,3,5
31,2015/7/4 0:00,3,5
32,2015/7/5 0:00,3,5
40,2015/9/2 0:00,3,5
41,2015/9/3 0:00,3,5
42,2015/9/4 0:00,3,5
43,2015/9/5 0:00,3,5
44,2015/9/6 0:00,3,5
48,2015/9/10 0:00,3,5
53,2015/9/29 0:00,3,5
55,2015/10/1 0:00,3,5
56,2015/10/2 0:00,3,5
57,2015/10/3 0:00,3,5
58,2015/10/4 0:00,3,5
59,2015/10/5 0:00,3,5
60,2015/10/6 0:00,3,5
69,2015/10/15 0:00,3,5
70,2015/10/16 0:00,3,5
75,2015/10/21 0:00,3,5
76,2015/10/22 0:00,3,5
88,2015/11/19 0:00,3,5
89,2015/11/20 0:00,3,5
109,2015/12/14 0:00,3,5
124,2015/12/29 0:00,3,5
131,2016/1/5 0:00,3,5
133,2016/1/9 0:00,3,5
138,2016/1/14 0:00,3,5
142,2016/1/18 0:00,3,5
144,2016/1/20 0:00,3,5
146,2016/1/22 0:00,3,5
147,2016/1/23 0:00,3,5
148,2016/1/24 0:00,3,5
149,2016/1/25 0:00,3,5
150,2016/1/26 0:00,3,5
151,2016/1/27 0:00,3,5
158,2016/2/3 0:00,3,5
160,2016/2/18 0:00,3,5
166,2016/2/24 0:00,3,5
170,2016/3/1 0:00,3,5
171,2016/3/2 0:00,3,5
172,2016/3/3 0:00,3,5
188,2016/3/19 0:00,3,5
189,2016/3/22 0:00,3,5
190,2016/3/23 0:00,3,5
191,2016/3/24 0:00,3,5
192,2016/3/26 0:00,3,5
193,2016/3/27 0:00,3,5
194,2016/3/28 0:00,3,5
196,2016/3/30 0:00,3,5
197,2016/3/31 0:00,3,5
227,2016/5/28 0:00,3,5
248,2016/6/21 0:00,3,5
293,2016/8/6 0:00,3,5
46,2015/9/8 0:00,4,5
47,2015/9/9 0:00,4,5
81,2015/11/11 0:00,4,5
82,2015/11/12 0:00,4,5
129,2016/1/3 0:00,4,5
130,2016/1/4 0:00,4,5
132,2016/1/6 0:00,4,5
134,2016/1/10 0:00,4,5
140,2016/1/16 0:00,4,5
163,2016/2/21 0:00,4,5
165,2016/2/23 0:00,4,5
167,2016/2/25 0:00,4,5
178,2016/3/9 0:00,4,5
211,2016/4/29 0:00,4,5
212,2016/4/30 0:00,4,5
213,2016/5/1 0:00,4,5
221,2016/5/15 0:00,4,5
225,2016/5/19 0:00,4,5
244,2016/6/17 0:00,4,5
256,2016/6/29 0:00,4,5
292,2016/8/5 0:00,4,5
96,2015/12/1 0:00,5,5
102,2015/12/7 0:00,5,5
126,2015/12/31 0:00,5,5
127,2016/1/1 0:00,5,5
128,2016/1/2 0:00,5,5
135,2016/1/11 0:00,5,5
141,2016/1/17 0:00,5,5
154,2016/1/30 0:00,5,5
157,2016/2/2 0:00,5,5
161,2016/2/19 0:00,5,5
162,2016/2/20 0:00,5,5
173,2016/3/4 0:00,5,5
185,2016/3/16 0:00,5,5
231,2016/6/4 0:00,5,5
250,2016/6/23 0:00,5,5
258,2016/7/1 0:00,5,5
264,2016/7/8 0:00,5,5
266,2016/7/10 0:00,5,5
280,2016/7/24 0:00,5,5
91,2015/11/26 0:00,6,5
125,2015/12/30 0:00,6,5
152,2016/1/28 0:00,6,5
155,2016/1/31 0:00,6,5
156,2016/2/1 0:00,6,5
174,2016/3/5 0:00,6,5
175,2016/3/6 0:00,6,5
177,2016/3/8 0:00,6,5
184,2016/3/15 0:00,6,5
186,2016/3/17 0:00,6,5
205,2016/4/8 0:00,6,5
218,2016/5/12 0:00,6,5
246,2016/6/19 0:00,6,5
249,2016/6/22 0:00,6,5
259,2016/7/2 0:00,6,5
262,2016/7/6 0:00,6,5
271,2016/7/15 0:00,6,5
281,2016/7/25 0:00,6,5
291,2016/8/4 0:00,6,5
117,2015/12/22 0:00,7,5
119,2015/12/24 0:00,7,5
123,2015/12/28 0:00,7,5
153,2016/1/29 0:00,7,5
164,2016/2/22 0:00,7,5
187,2016/3/18 0:00,7,5
195,2016/3/29 0:00,7,5
232,2016/6/5 0:00,7,5
235,2016/6/8 0:00,7,5
265,2016/7/9 0:00,7,5
284,2016/7/28 0:00,7,5
95,2015/11/30 0:00,8,5
98,2015/12/3 0:00,8,5
99,2015/12/4 0:00,8,5
100,2015/12/5 0:00,8,5
101,2015/12/6 0:00,8,5
106,2015/12/11 0:00,8,5
107,2015/12/12 0:00,8,5
108,2015/12/13 0:00,8,5
120,2015/12/25 0:00,8,5
121,2015/12/26 0:00,8,5
122,2015/12/27 0:00,8,5
176,2016/3/7 0:00,8,5
179,2016/3/10 0:00,8,5
180,2016/3/11 0:00,8,5
181,2016/3/12 0:00,8,5
182,2016/3/13 0:00,8,5
183,2016/3/14 0:00,8,5
233,2016/6/6 0:00,8,5
241,2016/6/14 0:00,8,5
245,2016/6/18 0:00,8,5
253,2016/6/26 0:00,8,5
260,2016/7/3 0:00,8,5
269,2016/7/13 0:00,8,5
282,2016/7/26 0:00,8,5
290,2016/8/3 0:00,8,5
92,2015/11/27 0:00,9,5
94,2015/11/29 0:00,9,5
103,2015/12/8 0:00,9,5
104,2015/12/9 0:00,9,5
105,2015/12/10 0:00,9,5
236,2016/6/9 0:00,9,5
242,2016/6/15 0:00,9,5
243,2016/6/16 0:00,9,5
247,2016/6/20 0:00,9,5
254,2016/6/27 0:00,9,5
267,2016/7/11 0:00,9,5
268,2016/7/12 0:00,9,5
272,2016/7/16 0:00,9,5
273,2016/7/17 0:00,9,5
277,2016/7/21 0:00,9,5
279,2016/7/23 0:00,9,5
283,2016/7/27 0:00,9,5
93,2015/11/28 0:00,10,5
97,2015/12/2 0:00,10,5
112,2015/12/17 0:00,10,5
113,2015/12/18 0:00,10,5
118,2015/12/23 0:00,10,5
251,2016/6/24 0:00,10,5
255,2016/6/28 0:00,10,5
263,2016/7/7 0:00,10,5
274,2016/7/18 0:00,10,5
275,2016/7/19 0:00,10,5
286,2016/7/30 0:00,10,5
110,2015/12/15 0:00,11,5
114,2015/12/19 0:00,11,5
234,2016/6/7 0:00,11,5
237,2016/6/10 0:00,11,5
238,2016/6/11 0:00,11,5
239,2016/6/12 0:00,11,5
240,2016/6/13 0:00,11,5
252,2016/6/25 0:00,11,5
270,2016/7/14 0:00,11,5
287,2016/7/31 0:00,11,5
111,2015/12/16 0:00,12,5
115,2015/12/20 0:00,12,5
261,2016/7/4 0:00,12,5
285,2016/7/29 0:00,12,5
288,2016/8/1 0:00,12,5
116,2015/12/21 0:00,13,5
276,2016/7/20 0:00,13,5
289,2016/8/2 0:00,13,5
278,2016/7/22 0:00,14,5
